,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions
208,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-02-02,69602,24973,    6139,    6502,190948,   -2874,44629
209,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-01-26,63463,18471,    -680,    4342,193822,    2282,44992
210,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-01-19,64143,14129,     286,     792,191540,     729,50014
211,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-01-12,63857,13337,   -5306,   -5636,190811,  -16152,50520
212,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-01-05,69163,18973,    5586,    2746,206963,   12509,50190
213,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-12-29,63577,16227,   -3393,   -4650,194454,   -2391,47350
214,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-12-21,66970,20877,    1594,    -536,196845,    3528,46093
215,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-12-15,65376,21413,    1791,    5994,193317,      -9,43963
216,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-12-08,63585,15419,    1136,     473,193326,    7453,48166
217,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-12-01,62449,14946,    7977,     716,185873,    6370,47503
218,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-11-24,54472,14230,   14159,    3584,179503,   14430,40242
219,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-11-17,40313,10646,  -15331,   -3104,165073,  -18445,29667
220,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-11-10,55644,13750,    4632,   -9164,183518,   -1233,41894
221,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-11-03,51012,22914,    4881,   -5324,184751,    7129,28098
222,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-10-27,46131,28238,    -393,   -4103,177622,   11531,17893
223,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-10-20,46524,32341,    -721,    5072,166091,     475,14183
224,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-10-13,47245,27269,    1466,    2592,165616,    2592,19976
225,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-10-06,45779,24677,   -1756,    1931,163024,    4726,21102
226,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-09-29,47535,22746,  -11498,   -6706,158298,  -10953,24789
227,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-09-22,59033,29452,    8673,    1981,169251,   20339,29581
228,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-09-15,50360,27471,    5510,    4363,148912,   -2634,22889
229,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-09-08,44850,23108,   -1804,    6058,151546,    5624,21742
230,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-09-01,46654,17050,    1676,   -4312,145922,   -1631,29604
231,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-08-25,44978,21362,    3261,     229,147553,     477,23616
232,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-08-18,41717,21133,   -6441,      -9,147076,   -3073,20584
233,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-08-11,48158,21142,   -3915,     498,150149,   -7819,27016
234,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-08-04,52073,20644,  -10851,  -13773,157968,  -12301,31429
235,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-07-28,62924,34417,   12070,    2870,170269,   27583,28507
236,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-07-21,50854,31547,    5743,    4762,142686,    7423,19307
237,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-07-14,45111,26785,    1068,    -446,135263,   -3050,18326
238,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-07-07,44043,27231,    1288,    8337,138313,     951,16812
239,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-06-30,42755,18894,   -7735,   -4138,137362,   -7187,23861
240,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-06-23,50490,23032,    7364,    2016,144549,   17262,27458
241,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-06-16,43126,21016,   -5736,  -10384,127287,  -27872,22110
242,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-06-09,48862,31400,  -13096,    2021,155159,   -3584,17462
243,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-06-02,61958,29379,    4085,    6113,158743,    1916,32579
244,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-05-26,57873,23266,    5835,   -1302,156827,    8852,34607
245,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-05-19,52038,24568,   -4269,   -3802,147975,   -5395,27470
246,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-05-12,56307,28370,    -327,   -1050,153370,    1328,27937
247,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-05-05,56634,29420,   -3328,    1784,152042,    8207,27214
248,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-04-28,59962,27636,    6232,     -68,143835,   15563,32326
249,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-04-21,53730,27704,    3867,     484,128272,    5343,26026
250,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-04-14,49863,27220,     614,     381,122929,    4334,22643
251,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-04-07,49249,26839,     805,   -3323,118595,   -1675,22410
252,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-03-31,48444,30162,   -8084,   -2503,120270,   -5324,18282
253,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-03-24,56528,32665,    -758,    8314,125594,    -175,23863
254,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-03-17,57286,24351,   -4446,  -29224,125769,  -33359,32935
255,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-03-10,61732,53575,   11134,  -39347,159128,  -39276,8157
256,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-03-03,50598,92922,   -3257,  -17322,198404,  -25500,-42324
257,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-02-25,53855,110244,   -4750,   24418,223904,   20273,-56389
258,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-02-18,58605,85826,    3800,    4833,203631,    9809,-27221
259,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-02-11,54805,80993,   -2867,    1423,193822,    3743,-26188
260,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-02-04,57672,79570,   11996,   -2131,190079,    5160,-21898
261,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-01-28,45676,81701,   -4920,  -13596,184919,  -18660,-36025
262,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-01-21,50596,95297,     876,   14147,203579,   19716,-44701
263,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-01-14,49720,81150,    1874,   21056,183863,   21769,-31430
264,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2020-01-07,47846,60094,    4178,   -8876,162094,  -12872,-12248
265,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-12-31,43668,68970,    3076,   -5164,174966,    1824,-25302
266,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-12-24,40592,74134,   -2826,  -11346,173142,   -5387,-33542
267,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-12-17,43418,85480,    1575,     -45,178529,  -20171,-42062
268,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-12-10,41843,85525,   -6469,  -10610,198700,  -15523,-43682
269,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-12-03,48312,96135,    -966,    7266,214223,   17329,-47823
270,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-11-26,49278,88869,    3855,    8415,196894,   14449,-39591
271,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-11-19,45423,80454,    1459,    1493,182445,   -1035,-35031
272,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-11-12,43964,78961,     -32,    8360,183480,    6374,-34997
273,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-11-05,43996,70601,    4811,   11718,177106,   13620,-26605
274,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-10-29,39185,58883,   -2371,    -838,163486,    4236,-19698
275,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-10-22,41556,59721,   -4860,    6664,159250,    1543,-18165
276,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-10-15,46416,53057,   -6387,   11266,157707,    7688,-6641
277,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-10-08,52803,41791,   -5090,   -2185,150019,   -1841,11012
278,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-10-01,57893,43976,   12134,   11000,151860,    9834,13917
279,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-09-24,45759,32976,   -5083,    5996,142026,   11086,12783
280,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-09-17,50842,26980,   -5737,    2992,130940,  -20457,23862
281,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-09-10,56579,23988,    -643,   -5552,151397,   -6391,32591
282,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-09-03,57222,29540,   -2573,    3352,157788,     -74,27682
283,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-08-27,59795,26188,    9811,    7358,157862,    3200,33607
284,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-08-20,49984,18830,   -1780,   -8192,154662,   -5609,31154
285,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-08-13,51764,27022,    5539,   -8642,160271,    6933,24742
286,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-08-06,46225,35664,    9197,   -5582,153338,   14496,10561
287,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-07-30,37028,41246,    2386,   -2773,138842,    2597,-4218
288,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-07-23,34642,44019,    1737,    -266,136245,    5941,-9377
289,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-07-16,32905,44285,   -2441,    5288,130304,   -5433,-11380
290,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-07-09,35346,38997,    1148,    3572,135737,   -3618,-3651
291,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-07-02,34198,35425,    3108,   -5812,139355,     -84,-1227
292,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-06-25,31090,41237,    2921,   -3497,139439,   15810,-10147
293,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-06-18,28169,44734,    7383,  -21217,123629,  -45758,-16565
294,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-06-11,20786,65951,   -6651,   -5875,169387,    1577,-45165
295,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-06-04,27437,71826,    1634,   -9554,167810,   -1980,-44389
296,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-05-28,25803,81380,   -1737,   -1352,169790,   -1044,-55577
297,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-05-21,27540,82732,   -8375,  -14763,170834,   -9739,-55192
298,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-05-14,35915,97495,   10046,  -20091,180573,  -20889,-61580
299,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-05-07,25869,117586,    5291,   -2591,201462,   -1861,-91717
300,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-04-30,20578,120177,   -7543,   -2358,203323,   -3993,-99599
301,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-04-23,28121,122535,   -3686,    3622,207316,    7298,-94414
302,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-04-16,31807,118913,   11893,   27479,200018,   34282,-87106
303,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-04-09,19914,91434,    -548,    8231,165736,    8898,-71520
304,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-04-02,20462,83203,    2139,    2759,156838,    -307,-62741
305,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-03-26,18323,80444,   -1758,    1142,157145,    -929,-62121
306,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-03-19,20081,79302,   -2063,   -1623,158074,  -38692,-59221
307,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-03-12,22144,80925,  -11277,   -3802,196766,  -10317,-58781
308,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-03-05,33421,84727,    6056,   17708,207083,   20925,-51306
309,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-02-26,27365,67019,    2521,    4714,186158,    2135,-39654
310,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-02-19,24844,62305,     303,    7022,184023,   -1702,-37461
311,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-02-12,24541,55283,    3789,    3121,185725,   -7064,-30742
312,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-02-05,20752,52162,   -6249,   -8184,192789,  -12027,-31410
313,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-01-29,27001,60346,   -1402,   -7724,204816,   -7747,-33345
314,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-01-22,28403,68070,  -10283,  -17037,212563,  -16732,-39667
315,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-01-15,38686,85107,   -4041,  -18934,229295,   -1229,-46421
316,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2019-01-08,42727,104041,   10015,  -17294,230524,   14300,-61314
317,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-12-31,32712,121335,    -569,  -11035,216224,   -8234,-88623
318,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-12-24,33281,132370,    6324,    2642,224458,    9590,-99089
319,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-12-18,26957,129728,    1462,    6627,214868,    1813,-102771
320,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-12-11,25495,123101,   -7222,  -19382,213055,  -13780,-97606
321,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-12-04,32717,142483,   -3100,    2342,226835,   -4876,-109766
322,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-11-27,35817,140141,    2355,    6614,231711,    8567,-104324
323,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-11-20,33462,133527,   -6730,   -8959,223144,   -8586,-100065
324,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-11-13,40192,142486,    7132,   20304,231730,   22277,-102294
325,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-11-06,33060,122182,    4206,    1708,209453,    6340,-89122
326,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-10-30,28854,120474,   -1068,   -2252,203113,   -2530,-91620
327,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-10-23,29922,122726,    -174,   -7991,205643,   -5567,-92804
328,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-10-16,30096,130717,  -16938,  -31518,211210,  -42164,-100621
329,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-10-09,47034,162235,   -9040,   -7885,253374,    1097,-115201
330,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-10-02,56074,170120,    8821,   38148,252277,   36901,-114046
331,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-09-25,47253,131972,   -2499,   18465,215376,   15155,-84719
332,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-09-18,49752,113507,    1695,   11564,200221,    6793,-63755
333,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-09-11,48057,101943,     485,    2439,193428,    8081,-53886
334,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-09-04,47572,99504,   -2658,    3233,185347,     265,-51932
335,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-08-28,50230,96271,   -3886,   -5251,185082,   -4616,-46041
336,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-08-21,54116,101522,    4747,   -6215,189698,    3864,-47406
337,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-08-14,49369,107737,    3233,   -1206,185834,   -2068,-58368
338,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-08-07,46136,108943,   -1880,   -7530,187902,   -9664,-62807
339,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-07-31,48016,116473,   -1977,   -7289,197566,   -2861,-68457
340,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-07-24,49993,123762,  -27028,  -11909,200427,  -14986,-73769
341,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-07-17,77021,135671,   16458,   35276,215413,   33347,-58650
342,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-07-10,60563,100395,   10573,   11675,182066,   13706,-39832
343,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-07-03,49990,88720,    5560,   10069,168360,   14794,-38730
344,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-06-26,44430,78651,   -2135,   -3476,153566,   -1075,-34221
345,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-06-19,46565,82127,  -14044,   26570,154641,  -12236,-35562
346,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-06-12,60609,55557,    8549,      60,166877,   20429,5052
347,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-06-05,52060,55497,  -11122,  -15721,146448,  -24891,-3437
348,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-05-29,63182,71218,  -10654,   -5385,171339,   -3977,-8036
349,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-05-22,73836,76603,    8910,   15357,175316,   11905,-2767
350,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-05-15,64926,61246,   13114,    3972,163411,    5835,3680
351,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-05-08,51812,57274,   -5537,   -1480,157576,   -2761,-5462
352,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-05-01,57349,58754,   -1904,      84,160337,    5100,-1405
353,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-04-24,59253,58670,    9820,   11828,155237,    7918,583
354,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-04-17,49433,46842,    -422,    -252,147319,   -3883,2591
355,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-04-10,49855,47094,    1802,    2613,151202,    2384,2761
356,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-04-03,48053,44481,   -8491,  -15731,148818,  -13220,3572
357,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-03-27,56544,60212,    8642,   -9689,162038,    1788,-3668
358,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-03-20,47902,69901,    3606,  -53934,160250, -119421,-21999
359,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-03-13,44296,123835,   -5761,  -13067,279671,    2344,-79539
360,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-03-06,50057,136902,    5518,   -4288,277327,   14261,-86845
361,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-02-27,44539,141190,   -1095,  -12782,263066,   -8205,-96651
362,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-02-20,45634,153972,    3335,   -3836,271271,   11101,-108338
363,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-02-13,42299,157808,    3191,    5824,260170,   10692,-115509
364,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-02-06,39108,151984,   -8720,  -10540,249478,  -10759,-112876
365,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-01-30,47828,162524,   10568,    2394,260237,   19101,-114696
366,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-01-23,37260,160130,    -892,    2628,241136,    4831,-122870
367,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-01-16,38152,157502,     776,   -5410,236305,    3161,-119350
368,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-01-09,37376,162912,   -2216,    1554,233144,    2580,-125536
369,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2018-01-02,39592,161358,   -4677,    1003,230564,   -1864,-121766
370,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-12-26,44269,160355,    7395,    9108,232428,    9004,-116086
371,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-12-19,36874,151247,    5127,    5377,223424,  -27157,-114373
372,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-12-12,31747,145870,   -3019,   -3163,250581,   12504,-114123
373,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-12-05,34766,149033,   -5027,   -1400,238077,   -6459,-114267
374,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-11-28,39793,150433,   -4589,  -16551,244536,  -16483,-110640
375,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-11-21,44382,166984,   -4965,  -18362,261019,  -22609,-122602
376,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-11-14,49347,185346,   -4989,    3162,283628,   -4308,-135999
377,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-11-07,54336,182184,    -249,    8730,287936,   10230,-127848
378,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-10-31,54585,173454,   -5492,   -3480,277706,   -4524,-118869
379,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-10-24,60077,176934,    5067,   20638,282230,   25143,-116857
380,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-10-17,55010,156296,    3355,    3222,257087,    2963,-101286
381,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-10-10,51655,153074,   -7115,    9661,254124,    7235,-101419
382,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-10-03,58770,143413,   15807,   29103,246889,   39792,-84643
383,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-09-26,42963,114310,     528,   20553,207097,   21745,-71347
384,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-09-19,42435,93757,    1793,   -4182,185352,  -15092,-51322
385,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-09-12,40642,97939,   -6643,  -22291,200444,  -12756,-57297
386,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-09-05,47285,120230,    3396,    7817,213200,    3310,-72945
387,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-08-29,43889,112413,   -1273,   -6835,209890,   -5567,-68524
388,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-08-22,45162,119248,    1854,   -1552,215457,     367,-74086
389,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-08-15,43308,120800,    3498,  -14823,215090,  -17737,-77492
390,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-08-08,39810,135623,    3365,  -13018,232827,  -10049,-95813
391,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-08-01,36445,148641,    8427,    -866,242876,    7736,-112196
392,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-07-25,28018,149507,   -9401,  -14831,235140,  -14931,-121489
393,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-07-18,37419,164338,   -3359,   11435,250071,   10285,-126919
394,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-07-11,40778,152903,   -2870,   34219,239786,   32189,-112125
395,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-07-03,43648,118684,    5394,   19080,207597,   23892,-75036
396,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-06-27,38254,99604,   -1244,   10147,183705,   11865,-61350
397,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-06-20,39498,89457,    5338,    4744,171840,  -38777,-49959
398,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-06-13,34160,84713,   -5576,  -10050,210617,  -14932,-50553
399,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-06-06,39736,94763,   -3668,    -916,225549,   11822,-55027
400,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-05-30,43404,95679,    1484,    2103,213727,    2429,-52275
401,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-05-23,41920,93576,     -43,   -8395,211298,  -11212,-51656
402,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2017-05-16,41963,101971,    -672,   23029,222510,   19370,-60008
